Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240602
Jahr;spring;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;spring;     6.71;     6.69;     7.50;     6.17;     7.15;     5.54;     6.62;     6.62;     7.60;     7.80;     5.57;     8.28;     5.90;     6.76;     6.42;     5.99;     6.66;
1882;spring;     8.97;     8.95;     8.64;     7.81;     8.57;     8.14;     8.95;     8.96;     9.28;     8.88;     8.40;     9.28;     8.16;     9.01;     8.55;     7.98;     8.54;
1883;spring;     5.54;     5.53;     6.18;     4.95;     5.76;     4.98;     5.92;     5.93;     6.59;     6.37;     5.61;     6.92;     4.60;     5.63;     5.20;     4.66;     5.59;
1884;spring;     7.96;     7.95;     8.17;     7.23;     7.95;     7.19;     8.05;     8.05;     8.59;     8.28;     7.37;     8.71;     7.32;     8.03;     7.65;     7.16;     7.79;
1885;spring;     8.00;     7.99;     7.30;     6.72;     7.22;     6.72;     7.26;     7.26;     7.59;     7.34;     6.61;     7.71;     7.45;     7.78;     7.39;     6.89;     7.21;
1886;spring;     7.63;     7.63;     7.76;     6.82;     7.38;     6.63;     7.21;     7.20;     8.02;     7.76;     6.44;     8.18;     7.01;     7.61;     7.22;     6.73;     7.27;
1887;spring;     6.93;     6.92;     6.06;     5.34;     5.99;     6.16;     6.23;     6.24;     6.46;     6.20;     6.07;     6.48;     5.76;     6.72;     6.19;     5.52;     6.07;
1888;spring;     6.43;     6.42;     6.90;     6.09;     6.42;     5.08;     5.85;     5.85;     6.58;     6.83;     4.54;     7.12;     6.02;     6.47;     6.14;     5.72;     6.15;
1889;spring;     8.62;     8.60;     7.22;     6.63;     7.85;     7.33;     8.30;     8.30;     8.51;     7.86;     7.17;     7.98;     7.44;     8.44;     7.88;     7.18;     7.65;
1890;spring;     9.33;     9.31;     8.01;     7.51;     8.11;     8.10;     8.34;     8.34;     8.46;     8.18;     7.70;     8.46;     8.28;     8.93;     8.38;     7.68;     8.17;
1891;spring;     7.63;     7.61;     6.91;     6.36;     6.89;     6.25;     6.69;     6.69;     7.12;     6.99;     5.91;     7.13;     6.82;     7.37;     6.91;     6.33;     6.77;
1892;spring;     6.89;     6.88;     7.01;     6.03;     6.76;     6.03;     6.63;     6.63;     7.20;     7.23;     6.03;     7.63;     5.99;     6.95;     6.51;     5.94;     6.56;
1893;spring;     8.41;     8.40;     9.11;     7.77;     9.05;     7.37;     8.52;     8.52;     9.64;     9.64;     7.59;    10.03;     7.79;     8.72;     8.42;     8.05;     8.47;
1894;spring;     9.20;     9.19;     8.56;     7.88;     8.78;     8.22;     9.05;     9.05;     9.42;     8.86;     8.43;     9.15;     8.32;     9.12;     8.63;     8.01;     8.63;
1895;spring;     8.21;     8.19;     7.36;     6.36;     7.37;     7.30;     7.86;     7.86;     8.11;     7.66;     7.16;     8.04;     7.15;     7.98;     7.40;     6.67;     7.38;
1896;spring;     8.01;     7.99;     7.34;     6.24;     7.57;     7.24;     7.65;     7.65;     8.00;     7.91;     7.15;     8.28;     6.89;     7.81;     7.32;     6.70;     7.30;
1897;spring;     8.21;     8.20;     7.93;     6.83;     7.73;     7.23;     7.85;     7.85;     8.10;     8.05;     7.22;     8.34;     7.55;     8.15;     7.68;     7.08;     7.62;
1898;spring;     7.97;     7.96;     7.38;     6.82;     7.16;     6.52;     7.06;     7.05;     7.34;     7.31;     6.17;     7.63;     7.52;     7.71;     7.23;     6.63;     7.14;
1899;spring;     7.67;     7.66;     7.22;     6.22;     6.91;     6.74;     7.06;     7.06;     7.20;     7.15;     6.59;     7.36;     6.86;     7.51;     6.98;     6.32;     6.92;
1900;spring;     6.50;     6.49;     5.99;     4.90;     6.15;     5.65;     6.45;     6.45;     6.71;     6.54;     5.75;     6.74;     5.71;     6.62;     6.07;     5.38;     5.95;
1901;spring;     8.27;     8.26;     7.64;     7.21;     7.86;     7.15;     7.82;     7.82;     8.09;     8.09;     7.12;     8.21;     7.40;     8.18;     7.67;     7.02;     7.66;
1902;spring;     6.68;     6.67;     7.13;     6.31;     6.91;     5.59;     6.69;     6.69;     7.21;     7.31;     5.85;     7.59;     6.29;     6.81;     6.46;     6.02;     6.61;
1903;spring;     8.57;     8.55;     7.23;     6.94;     7.46;     7.60;     8.14;     8.15;     8.00;     7.49;     7.72;     7.61;     7.67;     8.48;     7.87;     7.12;     7.65;
1904;spring;     8.29;     8.27;     8.50;     7.99;     8.25;     6.97;     7.99;     7.99;     8.35;     8.46;     7.02;     8.61;     8.02;     8.40;     8.09;     7.68;     8.05;
1905;spring;     7.95;     7.94;     7.68;     7.04;     7.66;     6.89;     7.56;     7.57;     7.96;     7.99;     7.03;     8.28;     7.35;     7.89;     7.48;     6.97;     7.49;
1906;spring;     9.00;     8.98;     7.47;     7.02;     7.64;     7.52;     8.06;     8.07;     8.00;     7.68;     7.46;     7.90;     7.94;     8.68;     8.03;     7.22;     7.75;
1907;spring;     7.88;     7.86;     7.11;     6.50;     7.32;     6.75;     7.54;     7.55;     7.94;     7.49;     6.68;     7.79;     7.10;     7.81;     7.28;     6.61;     7.20;
1908;spring;     7.65;     7.64;     7.03;     6.61;     6.97;     6.49;     7.06;     7.07;     7.23;     7.21;     6.33;     7.52;     7.10;     7.46;     6.97;     6.35;     6.97;
1909;spring;     6.68;     6.67;     7.27;     6.48;     7.18;     5.44;     6.70;     6.70;     7.56;     7.62;     5.53;     8.00;     6.58;     6.92;     6.65;     6.30;     6.74;
1910;spring;     8.52;     8.51;     7.39;     7.00;     7.88;     7.64;     8.16;     8.17;     8.36;     7.84;     7.66;     8.05;     7.79;     8.23;     7.80;     7.26;     7.75;
1911;spring;     8.99;     8.98;     7.63;     7.40;     8.20;     7.89;     8.53;     8.53;     8.74;     8.19;     7.70;     8.34;     8.13;     8.85;     8.30;     7.61;     8.11;
1912;spring;     8.50;     8.48;     8.58;     7.82;     8.52;     7.50;     8.36;     8.37;     8.91;     8.89;     7.59;     9.12;     7.93;     8.58;     8.22;     7.77;     8.26;
1913;spring;     9.59;     9.57;     8.40;     7.95;     8.73;     8.55;     8.99;     9.00;     9.37;     8.98;     8.44;     9.19;     8.80;     9.39;     8.85;     8.17;     8.72;
1914;spring;     9.02;     9.01;     8.36;     7.91;     8.49;     8.35;     8.62;     8.63;     8.93;     8.78;     8.18;     9.04;     8.32;     8.92;     8.43;     7.82;     8.45;
1915;spring;     7.32;     7.31;     7.55;     7.16;     7.55;     6.37;     7.11;     7.11;     7.78;     7.96;     6.31;     8.19;     6.83;     7.43;     7.07;     6.62;     7.23;
1916;spring;     8.99;     8.98;     8.41;     8.47;     8.61;     7.74;     8.11;     8.11;     8.79;     8.78;     7.20;     8.80;     8.74;     8.83;     8.49;     8.07;     8.43;
1917;spring;     6.69;     6.68;     6.88;     6.25;     6.76;     5.41;     6.40;     6.40;     6.98;     7.21;     5.46;     7.44;     6.03;     6.76;     6.34;     5.83;     6.44;
1918;spring;     9.98;     9.96;     8.69;     8.69;     9.12;     8.61;     9.03;     9.03;     9.42;     9.18;     8.19;     9.24;     9.07;     9.53;     9.09;     8.52;     9.01;
1919;spring;     7.10;     7.09;     6.54;     5.93;     6.65;     6.71;     7.14;     7.14;     7.49;     7.28;     6.69;     7.47;     6.31;     7.10;     6.54;     5.85;     6.70;
1920;spring;    10.70;    10.68;     9.43;     9.38;     9.57;     9.66;     9.88;     9.89;    10.06;     9.70;     9.07;     9.74;    10.01;    10.58;    10.05;     9.37;     9.77;
1921;spring;    10.10;    10.08;     8.53;     8.33;     8.95;     9.48;     9.60;     9.61;     9.51;     9.12;     9.30;     9.32;     9.14;     9.91;     9.23;     8.37;     9.13;
1922;spring;     7.88;     7.87;     7.76;     7.32;     7.37;     7.31;     7.50;     7.51;     7.81;     7.96;     6.92;     8.12;     7.32;     7.93;     7.43;     6.80;     7.52;
1923;spring;     8.04;     8.02;     7.92;     7.62;     7.85;     6.98;     7.59;     7.60;     8.15;     8.19;     6.80;     8.33;     7.84;     8.07;     7.68;     7.19;     7.72;
1924;spring;     7.64;     7.63;     7.80;     7.31;     7.64;     6.39;     7.26;     7.26;     7.80;     8.05;     5.95;     8.23;     7.36;     7.77;     7.42;     6.97;     7.39;
1925;spring;     8.67;     8.66;     7.10;     6.97;     7.78;     7.92;     8.30;     8.31;     8.23;     7.89;     7.77;     7.92;     7.76;     8.48;     7.94;     7.24;     7.77;
1926;spring;     8.87;     8.86;     8.05;     7.68;     8.03;     7.81;     8.28;     8.28;     8.47;     8.24;     7.47;     8.35;     8.28;     8.79;     8.27;     7.61;     8.12;
1927;spring;     8.20;     8.19;     8.23;     7.78;     8.06;     7.43;     7.91;     7.91;     8.35;     8.44;     7.23;     8.70;     7.70;     8.36;     7.95;     7.43;     7.96;
1928;spring;     7.10;     7.08;     7.08;     6.54;     6.90;     6.39;     6.93;     6.93;     7.50;     7.34;     6.34;     7.53;     6.32;     6.98;     6.55;     6.00;     6.83;
1929;spring;     6.99;     6.98;     6.86;     6.20;     7.10;     6.18;     6.71;     6.71;     7.50;     7.47;     5.87;     7.66;     6.29;     7.14;     6.74;     6.24;     6.71;
