Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240902
Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;summer;    17.13;    17.11;    17.03;    16.39;    16.62;    16.12;    16.24;    16.24;    16.66;    16.90;    15.80;    17.19;    16.20;    16.88;    16.46;    15.95;    16.53;
1882;summer;    16.45;    16.44;    14.85;    14.46;    15.02;    16.19;    15.71;    15.72;    15.48;    15.16;    16.10;    15.33;    15.05;    16.02;    15.41;    14.64;    15.33;
1883;summer;    17.52;    17.51;    15.87;    15.50;    16.15;    16.66;    16.35;    16.36;    16.37;    16.23;    16.31;    16.42;    16.49;    17.14;    16.57;    15.84;    16.26;
1884;summer;    17.00;    16.98;    16.08;    15.35;    16.01;    16.32;    16.20;    16.21;    16.45;    16.52;    16.19;    16.83;    15.92;    16.57;    16.02;    15.33;    16.10;
1885;summer;    17.18;    17.17;    16.63;    16.05;    15.84;    16.06;    15.78;    15.78;    16.11;    16.28;    15.53;    16.65;    16.29;    16.63;    16.10;    15.43;    16.18;
1886;summer;    17.16;    17.15;    16.04;    15.47;    15.88;    16.05;    15.89;    15.89;    16.17;    16.17;    15.52;    16.42;    16.09;    16.61;    16.05;    15.35;    16.00;
1887;summer;    17.28;    17.27;    17.16;    16.42;    16.61;    16.42;    16.28;    16.28;    16.76;    17.18;    15.87;    17.36;    16.28;    16.98;    16.53;    15.95;    16.62;
1888;summer;    16.21;    16.19;    15.36;    14.89;    14.98;    15.05;    15.02;    15.02;    15.17;    15.18;    14.37;    15.32;    15.19;    15.88;    15.31;    14.61;    15.17;
1889;summer;    18.03;    18.02;    16.58;    16.12;    16.62;    17.16;    16.82;    16.82;    16.79;    16.72;    16.65;    16.91;    16.78;    17.64;    16.96;    16.12;    16.77;
1890;summer;    16.61;    16.59;    15.22;    14.89;    15.03;    15.53;    15.10;    15.10;    15.08;    15.07;    14.87;    15.28;    15.52;    16.09;    15.51;    14.78;    15.27;
1891;summer;    16.28;    16.26;    15.48;    15.01;    15.06;    15.35;    15.29;    15.29;    15.24;    15.17;    15.22;    15.28;    15.24;    15.76;    15.22;    14.54;    15.31;
1892;summer;    17.57;    17.56;    16.74;    16.33;    16.28;    15.84;    15.80;    15.80;    16.16;    16.57;    15.03;    16.72;    16.96;    17.19;    16.71;    16.09;    16.39;
1893;summer;    17.65;    17.64;    16.93;    16.23;    16.58;    16.61;    16.61;    16.61;    16.94;    16.96;    16.37;    17.25;    16.72;    17.44;    16.90;    16.21;    16.74;
1894;summer;    16.90;    16.88;    16.02;    15.48;    15.57;    16.00;    15.61;    15.61;    15.71;    15.80;    15.59;    15.95;    15.90;    16.51;    15.90;    15.14;    15.83;
1895;summer;    17.87;    17.85;    16.53;    16.09;    16.19;    16.50;    16.22;    16.22;    16.34;    16.23;    15.86;    16.37;    17.05;    17.32;    16.74;    16.02;    16.48;
1896;summer;    17.41;    17.40;    15.68;    14.97;    15.68;    16.79;    16.33;    16.34;    16.10;    15.93;    16.47;    16.14;    16.01;    16.74;    16.05;    15.18;    15.99;
1897;summer;    17.77;    17.76;    17.00;    16.13;    16.77;    16.99;    16.88;    16.89;    17.00;    17.05;    16.69;    17.27;    17.00;    17.53;    16.96;    16.25;    16.86;
1898;summer;    16.60;    16.59;    16.08;    15.25;    15.72;    15.46;    15.55;    15.56;    15.77;    15.94;    15.17;    16.12;    16.00;    16.32;    15.79;    15.12;    15.72;
1899;summer;    16.87;    16.86;    16.55;    15.54;    16.26;    16.16;    16.50;    16.51;    16.69;    16.62;    16.32;    16.90;    15.86;    16.80;    16.19;    15.42;    16.27;
1900;summer;    18.04;    18.02;    16.92;    16.17;    16.65;    17.02;    16.93;    16.93;    16.71;    16.89;    16.64;    17.22;    17.15;    17.61;    16.98;    16.20;    16.85;
1901;summer;    18.10;    18.08;    16.56;    16.28;    16.50;    17.00;    16.86;    16.86;    16.78;    16.85;    16.71;    16.98;    17.12;    17.70;    16.92;    15.94;    16.82;
1902;summer;    15.85;    15.84;    15.77;    15.22;    15.24;    14.64;    15.16;    15.16;    15.16;    15.54;    14.51;    15.66;    15.39;    15.68;    15.18;    14.54;    15.28;
1903;summer;    16.70;    16.69;    15.41;    15.26;    15.33;    15.40;    15.31;    15.32;    15.25;    15.44;    15.00;    15.41;    15.92;    16.32;    15.72;    14.96;    15.50;
1904;summer;    17.63;    17.61;    17.40;    16.95;    16.77;    16.05;    16.33;    16.33;    16.74;    17.08;    15.62;    17.19;    16.93;    17.39;    16.89;    16.27;    16.82;
1905;summer;    18.17;    18.15;    17.55;    17.23;    17.39;    17.02;    17.16;    17.17;    17.31;    17.46;    16.76;    17.35;    17.38;    17.88;    17.40;    16.79;    17.36;
1906;summer;    17.27;    17.25;    16.12;    15.64;    15.93;    16.41;    16.13;    16.14;    16.08;    16.04;    16.01;    16.08;    16.06;    16.85;    16.22;    15.43;    16.13;
1907;summer;    15.76;    15.75;    15.41;    15.08;    14.71;    14.58;    14.48;    14.48;    14.54;    14.84;    14.05;    14.93;    15.20;    15.33;    14.86;    14.27;    14.91;
1908;summer;    17.40;    17.39;    16.21;    15.76;    16.09;    16.33;    16.18;    16.19;    16.20;    16.15;    15.85;    16.34;    16.40;    16.88;    16.32;    15.60;    16.22;
1909;summer;    16.41;    16.40;    14.92;    14.71;    14.91;    15.28;    14.95;    14.96;    14.80;    14.97;    14.64;    15.16;    15.69;    15.94;    15.35;    14.63;    15.10;
