"id","district","district_group","area"
15,"Bahnhof","Innenstadtring",363089.241268
16,"Albachten","Münster-West",12965147.6663
17,"Angelmodde","Münster-Südost",5016879.54454
18,"Kreuz","Innenstadtring",1014690.91942
19,"Berg Fidel","Münster-Hiltrup",4781065.7893
20,"Düesberg","Mitte-Süd",2185161.91292
21,"Hiltrup-West","Münster-Hiltrup",4662358.76114
22,"Josef","Innenstadtring",726331.567503
23,"Hiltrup-Ost","Münster-Hiltrup",10996708.2752
24,"Pluggendorf","Innenstadtring",547591.442476
25,"Gievenbeck","Münster-West",9469006.72827
26,"Schützenhof","Mitte-Süd",1006484.00891
27,"Rumphorst","Mitte-Nordost",3157262.02706
28,"Gelmer-Dyckburg","Münster-Ost",17730403.715
29,"Mauritz-Mitte","Mitte-Nordost",1639550.05482
30,"Wolbeck","Münster-Südost",20706534.9439
31,"Roxel","Münster-West",19927077.3473
32,"Mauritz-West","Innenstadtring",477736.79652
1,"Aegidii","Altstadt",164740.386445
2,"Schloss","Innenstadtring",1519222.06675
3,"Dom","Altstadt",434200.895989
4,"Martini","Altstadt",166567.856425
5,"Hansaplatz","Innenstadtring",418503.344256
6,"Geist","Mitte-Süd",1438409.60692
7,"Kinderhaus-Ost","Münster-Nord",2622067.55638
8,"Gremmendorf-Ost","Münster-Südost",3994024.7705
9,"Hafen","Mitte-Nordost",1054341.93776
10,"Mauritz-Ost","Münster-Ost",5770133.81751
11,"Coerde","Münster-Nord",5867566.48362
12,"Buddenturm","Altstadt",188438.968775
13,"Neutor","Innenstadtring",526258.272528
14,"Überwasser","Altstadt",240300.24556
33,"Kinderhaus-West","Münster-Nord",5160561.03859
34,"Herz-Jesu","Mitte-Nordost",1027692.60015
35,"Schlachthof","Innenstadtring",760916.352809
36,"Handorf","Münster-Ost",30696425.3821
37,"Aaseestadt","Mitte-Süd",1477568.36603
38,"Sprakel","Münster-Nord",22417557.6609
39,"Gremmendorf-West","Münster-Südost",6399041.3154
40,"Amelsbüren","Münster-Hiltrup",43373127.3575
41,"Mecklenbeck","Münster-West",6244229.5976
42,"Uppenberg","Mitte-Nordost",3400206.41739
43,"Nienberge","Münster-West",27773029.2729
44,"Sentrup","Münster-West",6627422.48644
45,"Hiltrup-Mitte","Münster-Hiltrup",5984811.1099
