"species","district","X","Y"
"Tilia","Uppenberg",404685.243,5759126.262
"Tilia","Uppenberg",404698.459,5759130.288
"Carpinus","Uppenberg",404692.992,5759278.839
"Carpinus","Uppenberg",404692.909,5759289.147
"Carpinus","Uppenberg",404692.118,5759319.032
"Tilia","Uppenberg",404685.647,5759520.435
"Carpinus","Uppenberg",404662.299,5760349.83
"Platanus","Neutor",404352.732,5758911.89
"Platanus","Neutor",404318.559,5758966.392
"Acer","Neutor",404356.819,5758921.679
"Platanus","Neutor",404593.647,5758631.946
"Platanus","Neutor",404611.44,5758645.911
"Platanus","Neutor",404564.444,5758690.445
"Platanus","Neutor",404533.45,5758728.152
"Platanus","Neutor",404517.223,5758748.136
"Acer","Kreuz",404754.281,5758461.838
"Acer","Sentrup",404204.906,5759064.092
"Platanus","Sentrup",404198.549,5759071.558
"Fagus","Sentrup",403881.283,5759388.167
"Tilia","Kinderhaus-Ost",404635.447,5760587.896
"Acer","Kinderhaus-Ost",404663.547,5760936.122
"Acer","Kinderhaus-Ost",404674.459,5760998.108
"Carpinus","Kinderhaus-Ost",404689.399,5761086.755
"Acer","Kinderhaus-Ost",404694.94,5761123.003
"Quercus","Kinderhaus-Ost",404772.185,5761555.699
"Quercus","Kinderhaus-Ost",404782.112,5761610.644
"Quercus","Kinderhaus-Ost",404862.474,5762052.918
"Platanus","Kinderhaus-Ost",404771.673,5761496.73
"Platanus","Kinderhaus-Ost",404783.271,5761558.407
"Platanus","Kinderhaus-Ost",404752.799,5761392.453
"Sorbus","Kinderhaus-Ost",404653.529,5760815.532
"Quercus","Kinderhaus-Ost",404647.069,5760561.172
"Fagus","Kinderhaus-Ost",404646.589,5760600.705
"Acer","Kinderhaus-Ost",404646.229,5760619.27
"Acer","Kinderhaus-Ost",404658.68,5760502.428
"Tilia","Kinderhaus-Ost",404658.286,5760523.177
"Carpinus","Kinderhaus-Ost",404744.186,5761282.826
"Quercus","Kinderhaus-Ost",404792.201,5761551.465
"Carpinus","Kinderhaus-Ost",404900.366,5762122.353
"Quercus","Kinderhaus-Ost",404920.431,5762195.506
"Platanus","Kreuz",404700.275,5758545.443
"Tilia","Uppenberg",404797.233,5759491.366
"Tilia","Uppenberg",404763.736,5759951.431
"Tilia","Uppenberg",404648.497,5760089.624
"Carpinus","Uppenberg",404642.551,5760336.895
"Platanus","Schloss",404993.266,5757219.573
"Platanus","Schloss",404964.856,5757225.275
"Platanus","Schloss",404854.556,5757251.38
"Platanus","Schloss",404816.212,5757260.765
"Platanus","Schloss",404825.547,5757258.344
"Platanus","Schloss",404944.941,5757229.532
"Platanus","Schloss",404941.348,5757215.219
"Corylus","Schloss",404515.303,5757615.241
"Corylus","Schloss",404512.332,5757605.908
"Platanus","Schloss",404598.541,5757451.256
"Platanus","Schloss",404786.761,5757255.921
"Platanus","Schloss",404846.17,5757238.22
"Platanus","Schloss",405092.719,5757208.372
"Platanus","Schloss",405031.477,5757199.08
"Robinia","Schloss",405037.349,5757479.897
"Tilia","Uppenberg",404609.188,5759101.04
"Corylus","Uppenberg",404779.214,5759291.584
"Platanus","Schloss",405030.622,5757802.956
"Tilia","Schloss",405010.37,5757778.783
"Tilia","Uppenberg",404666.184,5759572.6
"Quercus","Uppenberg",404658.443,5759767.381
"Tilia","Uppenberg",404656.488,5759800.286
"Acer","Neutor",404076.058,5758496.538
"Acer","Neutor",404083.304,5758473.307
"Quercus","Neutor",404044.855,5758494.243
"Tilia","Neutor",403957.832,5758263.882
"Tilia","Neutor",403961.92,5758286.791
"Tilia","Neutor",403967.299,5758312.866
"Quercus","Neutor",404014.799,5758475.911
"Acer","Neutor",404175.498,5758855.113
"Acer","Neutor",404169.59,5758844.444
"Acer","Neutor",404147.985,5758805.693
"Acer","Neutor",404132.115,5758775.36
"Tilia","Düesberg",404914.635,5754430.941
"Acer","Herz-Jesu",407441.554,5757407.717
"Crataegus","Herz-Jesu",407113.784,5757420.904
"Fraxinus","Herz-Jesu",407170.506,5757428.109
"Tilia","Hansaplatz",406415.338,5757213.517
"Acer","Hansaplatz",406429.933,5757270.965
"Tilia","Hansaplatz",406407.307,5757152.427
"Acer","Sentrup",404253.01,5758984.31
"Acer","Sentrup",404216.6,5758944.312
"Platanus","Neutor",404311.868,5758958.771
"Acer","Kinderhaus-Ost",404664.87,5760944.716
"Quercus","Kinderhaus-Ost",404869.756,5762038.842
"Quercus","Kinderhaus-Ost",404647.188,5760554.684
"Quercus","Kinderhaus-Ost",404868.863,5761980.073
"Tilia","Uppenberg",404655.457,5759843.962
"Platanus","Schloss",405001.34,5757203.144
"Platanus","Schloss",404922.319,5757219.711
"Acer","Neutor",404160.241,5758845.488
"Quercus","Sentrup",404107.928,5758746.57
"Platanus","Neutor",404057.645,5758632.492
"Acer","Neutor",404025.045,5758542.539
"Quercus","Neutor",403946.431,5758247.385
"Acer","Sentrup",403969.568,5758375.64
"Tilia","Sentrup",403916.212,5758110.971
"Tilia","Sentrup",403922.827,5758166.336
"Tilia","Sentrup",403931.789,5758231.807
"Tilia","Sentrup",403942.692,5758298.068
"Tilia","Sentrup",403955.289,5758363.138
"Tilia","Sentrup",403957.548,5758373.384
"Tilia","Sentrup",403983.562,5758457.555
"Quercus","Sentrup",403991.808,5758488.606
"Acer","Sentrup",404014.28,5758560.924
"Acer","Sentrup",404033.554,5758610.972
"Acer","Sentrup",404047.428,5758640.476
"Acer","Sentrup",404104.037,5758757.388
"Acer","Sentrup",404114.13,5758776.946
"Acer","Sentrup",404244.021,5758989.553
"Acer","Sentrup",404247.747,5758999.513
"Aesculus","Sentrup",404121.346,5758806.849
"Tilia","Schloss",404870.815,5757723.565
"Tilia","Schloss",404930.678,5757719.251
"Tilia","Schloss",404961.033,5757717.849
"Acer","Schloss",404290.797,5757636.265
"Fagus","Schloss",404735.202,5757712.072
"Platanus","Schloss",404991.088,5757204.877
"Platanus","Schloss",404680.954,5757407.441
"Tilia","Schloss",403993.002,5756922.739
"Alnus","Schloss",404032.959,5756674.692
"Tilia","Schloss",404029.216,5756694.877
"Acer","Schloss",404080.602,5756513.826
"Acer","Schloss",403991.396,5756819.31
"Tilia","Schloss",403990.727,5757033.519
"Tilia","Schloss",403992.367,5757047.567
"Tilia","Schloss",403993.278,5757057.922
"Tilia","Schloss",403994.998,5757124.91
"Platanus","Pluggendorf",404469.282,5756519.734
"Platanus","Pluggendorf",404424.334,5756492.829
"Prunus","Pluggendorf",404418.87,5756489.557
"Aesculus","Pluggendorf",404296.43,5756409.057
"Tilia","Pluggendorf",404323.475,5756414.191
"Platanus","Pluggendorf",405016.968,5757058.808
"Tilia","Pluggendorf",404958.536,5757023.181
"Quercus","Neutor",403959.844,5758320.97
"Tilia","Sentrup",403944.755,5758309.03
"Acer","Sentrup",404018.067,5758571.029
"Tilia","Schloss",404988.492,5757715.94
"Platanus","Schloss",404745.01,5757323.48
"Acer","Neutor",404152.332,5758831.397
"Fagus","Pluggendorf",404385.811,5756625.537
"Quercus","Aaseestadt",404814.2,5756354.711
"Quercus","Pluggendorf",404689.06,5756356.553
"Betula","Pluggendorf",404772.272,5756694.483
"Platanus","Pluggendorf",404940.281,5757002.142
"Platanus","Pluggendorf",404882.529,5756955.501
"Platanus","Pluggendorf",404842.416,5756935.247
"Acer","Pluggendorf",404712.631,5756863.943
"Platanus","Pluggendorf",404667.593,5756848.239
"Tilia","Pluggendorf",404542.709,5756778.45
"Quercus","Pluggendorf",404622.235,5756815.023
"Carpinus","Pluggendorf",404642.389,5756827.706
"Fraxinus","Pluggendorf",404477.485,5756715.658
"Tilia","Kinderhaus-Ost",404637.874,5760504.041
"Tilia","Kinderhaus-Ost",404634.468,5760631.111
"Platanus","Hansaplatz",407048.322,5757281.523
"Platanus","Hansaplatz",407053.103,5757341.899
"Sorbus","Albachten",398539.215,5753837.949
"Acer","Albachten",398507.797,5753845.13
"Carpinus","Albachten",398550.236,5753884.515
"Quercus","Albachten",398747.966,5753429.141
"Quercus","Albachten",398803.175,5753158.48
"Quercus","Roxel",400117.307,5756610.093
"Fraxinus","Roxel",400055.408,5756583.777
"Quercus","Roxel",399941.529,5756520.651
"Quercus","Roxel",399611.796,5756294.479
"Quercus","Roxel",399582.74,5756276.401
"Quercus","Roxel",399378.749,5756170.374
"Carpinus","Pluggendorf",404337.914,5756577.063
"Quercus","Aaseestadt",404760.421,5756351.784
"Acer","Aaseestadt",404282.004,5756262.738
"Quercus","Pluggendorf",404621.671,5756340.341
"Betula","Pluggendorf",404766.965,5756612.537
"Acer","Schloss",403993.016,5756897.182
"Tilia","Schloss",403994.297,5757102.417
"Fraxinus","Pluggendorf",404673.56,5756676.812
"Betula","Pluggendorf",404530.071,5756754.628
"Tilia","Kinderhaus-Ost",404635.92,5760558.092
"Betula","Schloss",404401.348,5757590.383
"Tilia","Schloss",404409.427,5757489.436
"Carpinus","Schloss",404357.874,5757506.334
"Corylus","Schloss",404329.022,5757492.525
"Corylus","Schloss",404309.256,5757479.331
"Fraxinus","Schloss",404243.345,5757435.043
"Acer","Schloss",404094.483,5757382.697
"Platanus","Schloss",404010.293,5757435.886
"Platanus","Schloss",404015.837,5757425.131
"Acer","Schloss",404019.046,5757419.089
"Acer","Schloss",404020.799,5757423.466
"Carpinus","Schloss",404333.103,5757505.797
"Acer","Kreuz",404841.839,5758348.622
"Acer","Neutor",404644.149,5758553.689
"Acer","Neutor",404632.714,5758573.93
"Acer","Neutor",404597.746,5758610.436
"Acer","Neutor",404474.193,5758761.021
"Carpinus","Uppenberg",404640.856,5760399.757
"Sorbus","Schloss",404384.769,5757508.408
"Acer","Schloss",404070.471,5757386.897
"Acer","Neutor",404614.094,5758590.369
"Acer","Neutor",404340.094,5758941.366
"Acer","Kreuz",404696.445,5758526.185
"Platanus","Sentrup",404193.357,5759079.475
"Acer","Kinderhaus-Ost",404698.288,5761143.435
"Quercus","Kinderhaus-Ost",404826.717,5761789.382
"Tilia","Kinderhaus-Ost",404661.351,5760605.283
"Quercus","Kinderhaus-Ost",404908.806,5762212.959
"Tilia","Uppenberg",404643.744,5760239.688
"Tilia","Bahnhof",406192.312,5757352.961
"Tilia","Bahnhof",406205.077,5757418.933
"Tilia","Bahnhof",406197.676,5757376.386
"Tilia","Bahnhof",406183.188,5757304.223
"Tilia","Bahnhof",406179.922,5757322.732
"Tilia","Düesberg",403932.695,5753970.397
"Acer","Sentrup",403574.067,5757844.078
"Acer","Sentrup",403278.856,5757638.365
"Acer","Sentrup",403514.631,5757819.959
"Platanus","Sentrup",403671.265,5758207.8
"Tilia","Gremmendorf-Ost",408060.095,5754389.092
"Quercus","Gelmer-Dyckburg",409221.932,5760207.852
"Tilia","Bahnhof",406174.997,5757298.895
"Platanus","Mauritz-West",407055.163,5757369.698
"Platanus","Mauritz-West",407062.005,5757446.674
